,cost time,FPS,1,2,3,4,5,coordinate,len
234.png,0.007620573043823242,131,person,person,person,,,"[[33, 205, 374, 1005], [1213, 106, 1901, 986], [699, 556, 1007, 995]]",3
235.png,0.008148431777954102,122,person,person,person,,,"[[35, 213, 368, 1005], [1211, 206, 1907, 1034], [682, 542, 1005, 997]]",3
236.png,0.008325338363647461,120,person,person,person,,,"[[29, 223, 381, 1003], [1224, 214, 1911, 1027], [736, 461, 1110, 979]]",3
237.png,0.008130073547363281,123,person,person,person,,,"[[33, 234, 397, 1000], [1201, 207, 1919, 1035], [661, 544, 962, 1006]]",3
238.png,0.00829458236694336,120,person,person,person,,,"[[37, 238, 416, 994], [1217, 204, 1909, 1036], [640, 551, 942, 1004]]",3
239.png,0.008172750473022461,122,chair,person,person,person,,"[[1260, 335, 1879, 1058], [45, 231, 441, 1003], [634, 536, 932, 993], [1222, 203, 1901, 1038]]",4
240.png,0.00773167610168457,129,chair,person,person,person,,"[[1257, 338, 1887, 1053], [28, 232, 473, 998], [618, 518, 926, 1005], [1236, 208, 1911, 1037]]",4
241.png,0.008384227752685547,119,person,person,person,,,"[[26, 217, 456, 987], [625, 526, 925, 1015], [1210, 196, 1915, 1045]]",3
242.png,0.00807642936706543,123,person,person,person,,,"[[34, 208, 459, 998], [613, 522, 918, 1012], [1189, 195, 1910, 1044]]",3
243.png,0.008226633071899414,121,person,person,person,,,"[[13, 201, 501, 1006], [616, 513, 908, 1012], [1184, 201, 1902, 1041]]",3
244.png,0.007925271987915039,126,person,person,person,,,"[[18, 146, 439, 974], [652, 476, 877, 989], [1452, 60, 1919, 1019]]",3
245.png,0.0078008174896240234,128,person,person,person,,,"[[28, 133, 441, 977], [644, 468, 901, 976], [1487, 57, 1916, 1021]]",3
246.png,0.008059978485107422,124,person,person,person,,,"[[21, 122, 442, 974], [655, 471, 900, 984], [1491, 60, 1904, 1022]]",3
247.png,0.008327007293701172,120,person,person,person,,,"[[8, 143, 447, 941], [641, 440, 900, 1010], [1543, 75, 1897, 1006]]",3
248.png,0.007877826690673828,126,person,person,person,,,"[[20, 141, 439, 942], [651, 429, 904, 1014], [1545, 71, 1897, 1005]]",3
249.png,0.007294654846191406,137,person,person,person,,,"[[17, 143, 467, 946], [652, 430, 901, 1018], [1542, 67, 1899, 1008]]",3
250.png,0.008109092712402344,123,person,person,person,,,"[[16, 148, 462, 967], [652, 428, 900, 1019], [1548, 65, 1900, 1006]]",3
251.png,0.007817983627319336,127,person,person,person,,,"[[652, 434, 916, 1001], [1559, 65, 1899, 1009], [26, 175, 712, 946]]",3
252.png,0.007823944091796875,127,person,person,,,,"[[655, 438, 916, 996], [1558, 64, 1903, 1012]]",2
253.png,0.007385730743408203,135,person,person,person,,,"[[660, 443, 921, 991], [1557, 62, 1905, 1016], [23, 180, 735, 940]]",3
254.png,0.0077953338623046875,128,person,person,person,,,"[[658, 454, 941, 991], [1555, 76, 1905, 1017], [63, 235, 684, 978]]",3
255.png,0.007899999618530273,126,person,person,person,,,"[[38, 219, 714, 993], [664, 447, 942, 984], [1562, 70, 1918, 1030]]",3
256.png,0.008254766464233398,121,person,person,person,,,"[[669, 451, 962, 991], [1567, 64, 1919, 1032], [56, 214, 672, 992]]",3
257.png,0.007767200469970703,128,person,person,,,,"[[684, 452, 981, 972], [1569, 59, 1916, 1042]]",2
258.png,0.008136749267578125,122,person,person,,,,"[[684, 452, 981, 972], [1569, 59, 1916, 1042]]",2
259.png,0.007309913635253906,136,person,person,person,,,"[[704, 439, 976, 987], [55, 232, 671, 985], [1583, 45, 1914, 1056]]",3
260.png,0.00819706916809082,121,person,person,person,,,"[[0, 141, 429, 980], [678, 521, 1014, 1020], [1565, 175, 1911, 1031]]",3
261.png,0.008022308349609375,124,person,person,person,,,"[[700, 453, 1024, 1007], [0, 120, 449, 998], [1524, 199, 1919, 1020]]",3
262.png,0.007848262786865234,127,person,person,,,,"[[770, 547, 1093, 1009], [0, 219, 408, 1005]]",2
263.png,0.007795810699462891,128,person,person,,,,"[[829, 519, 1109, 1024], [1411, 209, 1908, 1003]]",2
264.png,0.007433891296386719,134,person,,,,,"[[893, 539, 1130, 989]]",1
265.png,0.0066242218017578125,150,,,,,,[],0
266.png,0.006180763244628906,161,,,,,,[],0
267.png,0.0072553157806396484,137,person,,,,,"[[129, 136, 1779, 989]]",1
268.png,0.007922649383544922,126,person,person,,,,"[[0, 199, 1901, 1016], [1127, 577, 1312, 738]]",2
269.png,0.00784611701965332,127,person,,,,,"[[1160, 590, 1357, 820]]",1
270.png,0.007565736770629883,132,person,,,,,"[[1184, 565, 1418, 982]]",1
271.png,0.007510185241699219,133,person,,,,,"[[1159, 552, 1452, 995]]",1
272.png,0.007127046585083008,140,person,person,,,,"[[6, 100, 723, 1008], [838, 362, 1291, 1019]]",2
273.png,0.008177518844604492,122,person,person,,,,"[[0, 91, 719, 1006], [732, 339, 1228, 1019]]",2
274.png,0.007953405380249023,125,person,person,,,,"[[30, 82, 654, 1024], [701, 283, 1181, 1001]]",2
275.png,0.0074923038482666016,133,person,person,,,,"[[50, 90, 660, 1015], [716, 285, 1148, 1004]]",2
276.png,0.007718563079833984,129,person,person,,,,"[[719, 279, 1128, 1007], [47, 90, 646, 1017]]",2
277.png,0.007913351058959961,126,person,person,,,,"[[47, 91, 626, 997], [707, 266, 1123, 1016]]",2
278.png,0.007001638412475586,142,person,person,,,,"[[728, 240, 1123, 1018], [56, 83, 643, 994]]",2
279.png,0.008157730102539062,122,person,person,,,,"[[719, 233, 1143, 1011], [50, 84, 644, 998]]",2
280.png,0.007788896560668945,128,person,person,,,,"[[721, 213, 1134, 1023], [40, 84, 640, 1006]]",2
281.png,0.007839679718017578,127,person,person,,,,"[[687, 189, 1148, 1028], [29, 103, 621, 998]]",2
282.png,0.007924318313598633,126,person,person,,,,"[[687, 189, 1148, 1028], [29, 103, 621, 998]]",2
283.png,0.007977485656738281,125,person,person,,,,"[[1, 112, 675, 982], [653, 121, 1183, 978]]",2
284.png,0.007269620895385742,137,person,person,,,,"[[0, 79, 564, 1006], [655, 116, 1204, 973]]",2
285.png,0.008028507232666016,124,person,person,,,,"[[0, 78, 564, 1006], [657, 116, 1204, 972]]",2
286.png,0.008007526397705078,124,person,person,,,,"[[468, 93, 1176, 991], [49, 94, 494, 1007]]",2
287.png,0.007550239562988281,132,person,person,,,,"[[453, 92, 1128, 1002], [49, 102, 487, 991]]",2
288.png,0.007019519805908203,142,person,,,,,"[[139, 87, 1195, 1002]]",1
289.png,0.00746917724609375,133,person,,,,,"[[136, 81, 1180, 1015]]",1
290.png,0.007816314697265625,127,chair,person,,,,"[[1373, 744, 1813, 968], [55, 70, 1287, 1020]]",2
291.png,0.008139371871948242,122,person,,,,,"[[483, 67, 928, 528]]",1
292.png,0.00787210464477539,127,person,person,,,,"[[91, 68, 1535, 1002], [0, 0, 253, 1064]]",2
293.png,0.006478309631347656,154,,,,,,[],0
294.png,0.008059024810791016,124,person,person,person,,,"[[184, 58, 838, 1045], [975, 261, 1267, 862], [1423, 157, 1765, 984]]",3
295.png,0.008076667785644531,123,person,person,person,,,"[[164, 55, 836, 1046], [981, 263, 1275, 859], [1427, 157, 1765, 983]]",3
296.png,0.008028984069824219,124,person,person,person,,,"[[92, 80, 726, 1015], [1001, 247, 1280, 877], [1496, 148, 1800, 986]]",3
297.png,0.008275270462036133,120,person,person,person,,,"[[74, 85, 744, 1010], [998, 258, 1293, 852], [1493, 221, 1795, 970]]",3
298.png,0.008515357971191406,117,person,person,person,,,"[[63, 94, 751, 1000], [989, 274, 1317, 842], [1493, 221, 1792, 980]]",3
299.png,0.008045196533203125,124,person,person,person,,,"[[86, 93, 710, 1007], [1006, 285, 1315, 841], [1493, 224, 1798, 976]]",3
300.png,0.00807046890258789,123,person,person,person,,,"[[89, 96, 652, 1009], [1036, 272, 1281, 974], [1492, 227, 1803, 980]]",3
301.png,0.008511781692504883,117,person,person,person,,,"[[98, 93, 637, 1006], [966, 305, 1323, 973], [1493, 224, 1799, 987]]",3
302.png,0.008104562759399414,123,person,person,person,,,"[[162, 86, 631, 995], [1480, 211, 1816, 989], [1090, 361, 1292, 894]]",3
303.png,0.008096933364868164,123,person,person,person,,,"[[152, 71, 774, 1025], [1395, 230, 1811, 995], [1098, 383, 1289, 852]]",3
